,语言能力,总量
0,普通话：精通  广东话：一般************语：听：一般，说：一般，读,511
1,良好,469
2,语四级,391
3,普通话,379
4,一般,356
5,语一般,343
6,普通话标准,244
7,普通话：精通  广东话：精通************语：听：一般，说：一般，读,237
8,语,184
9,普通话：精通  广东话：一般******语：听：一般，说：一般，读：一般，写：,184
10,普通话流利,168
11,语三级,137
12,普通话：精通  广东话：一般************语：听：良好，说：良好，读,136
13,语良好,135
14,普通话：精通  广东话：不会************语：听：一般，说：一般，读,130
15,普通话：精通  广东话：良好************语：听：一般，说：一般，读,124
16,国语,117
17,普通话：精通  广东话：一般************语：听：精通，说：精通，读,106
18,语水平一般,102
19,CET-4,100
20,大学语四级,92
21,普通话：精通  广东话：精通******语：听：一般，说：一般，读：一般，写：,86
22,中文,80
23,普通话：精通  广东话：一般******语：听：精通，说：精通，读：精通，写：,77
24,普通话：良好  广东话：一般************语：听：一般，说：一般，读,77
25,汉语,74
26,普通话良好,72
27,语六级,63
28,语熟练,61
29,普通话：精通  广东话：一般************语：听：良好，说：一般，读,60
30,熟练,57
31,普通话：精通  广东话：不会************语：听：良好，说：良好，读,52
32,语：一般,51
33,普通话：精通  广东话：精通************语：听：良好，说：良好，读,51
34,普通话：精通  广东话：良好************语：听：良好，说：良好，读,51
35,普通话熟练,50
36,普通话：良好  广东话：不会************语：听：一般，说：一般，读,48
37,普通话：精通  广东话：一般******语：听：一般，说：一般，读：良好，写：,48
38,普通话标准，语一般,44
39,语4级,42
40,普通话：精通  广东话：不会******语：听：一般，说：一般，读：一般，写：,42
41,语 一般,40
42,语  一般,38
43,标准普通话,37
44,普通话：精通  广东话：一般******语：听：良好，说：良好，读：良好，写：,37
45,普通话：精通  广东话：一般,36
46,普通话：精通  广东话：良好******语：听：一般，说：一般，读：一般，写：,36
47,语水平良好,36
48,CET4,36
49,好,35
50,普通话，粤语,34
51,普通话：精通  广东话：不会************语：听：精通，说：精通，读,34
52,普通话：精通  广东话：精通,33
53,普通话标准，语一般。,33
54,语言表达能力强,32
55,国语、粤语,32
56,普通话：精通  广东话：精通************语：听：精通，说：精通，读,31
57,善于沟通,30
58,语一般。,30
59,大学语六级,29
60,普通话：精通  广东话：良好************语：听：精通，说：精通，读,29
61,普通话：精通  广东话：一般************,29
62,国家语四级,29
63,普通话：良好  广东话：一般******语：听：一般，说：一般，读：一般，写：,29
64,普通话流利，语一般,29
65,普通话、粤语,28
66,国语，粤语,27
67,CET-6,27
68,普通话标准。,26
69,普通话：精通  广东话：一般************语：听：不会，说：不会，读,26
70,沟通能力强,26
71,普通话：精通  广东话：不会************语：听：良好，说：一般，读,25
72,普通话：精通  广东话：一般******语：听：良好，说：良好，读：精通，写：,25
73,较好,24
74,普通话：精通  广东话：精通******语：听：良好，说：良好，读：良好，写：,24
75,语3级,23
76,语能力一般,23
77,普通话：精通  广东话：不会******语：听：一般，说：一般，读：良好，写：,22
78,普通话：精通  ************广东话：一般************语,22
79,语言表达能力良好,21
80,普通话良好，语一般。,21
81,普通话标准************语一般,21
82,良好。,21
83,普通话：精通  广东话：不会******语：听：良好，说：良好，读：良好，写：,21
84,语二级,21
85,普通话流利，语一般。,20
86,普通话熟练，语一般,20
87,普通话：精通  广东话：一般******语：听：良好，说：一般，读：良好，写：,20
88,"普通话流利,粤语流利",20
89,普通话标准，语良好,19
90,普通话：精通  广东话：精通************语：听：良好，说：一般，读,19
91,语 良好,18
92,普通话：精通  广东话：精通************,18
93,普通话：良好  广东话：不会******语：听：一般，说：一般，读：一般，写：,18
94,语B级,18
95,普通话：良好  广东话：良好************语：听：一般，说：一般，读,18
96,普通话：精通  广东话：一般************语：听：精通，说：良好，读,18
97,普通话，语,18
98,优秀,18
99,普通话、语,17
100,语四级************,17
101,普通话：良好  广东话：精通************语：听：一般，说：一般，读,17
102,很好,17
103,语言能力一般,17
104,普通话：良好  广东话：一般************语：听：良好，说：良好，读,17
105,国语流利,17
106,语:一般,17
107,无,17
108,语国家四级,16
109,普通话：精通  广东话：良好************语：听：良好，说：一般，读,16
110,语CET-4,16
111,文一般,16
112,普通话二级乙等,16
113,语  良好,16
114,语A级,16
115,普通话标准************,16
116,语水平一般。,16
117,普通话、粤语流利,16
118,普通话：精通  广东话：不会******语：听：精通，说：精通，读：精通，写：,16
119,良好！,15
120,普通话流利。,15
121,普通话、粤语、语,15
122,语四级水平,15
123,语：良好,15
124,普通话：精通  广东话：不会,15
125,普通话：精通  广东话：精通******语：听：精通，说：精通，读：精通，写：,14
126,普通话：精通  广东话：一般************语：听：一般，说：良好，读,14
127,"普通话标准,语一般",14
128,国语标准,14
129,粤语、普通话,14
130,-,14
131,1,14
132,0,14
133,普通话：精通  广东话：良好******语：听：良好，说：良好，读：良好，写：,13
134,语良好。,13
135, ,13
136,粤语、国语,13
137,普通话良好，语一般,13
138,普通话：精通  广东话：良好******语：听：一般，说：一般，读：良好，写：,13
139,标准,13
140,"普通话流利,粤语一般",12
141,普通话一般,12
142,普通话良好。,12
143,可以,12
144,语四级。,12
145,普通话：良好  广东话：不会************语：听：良好，说：良好，读,12
146,CET6,12
147,普通话标准，语水平一般,12
148,普通话熟练，语一般。,11
149,粤语，普通话,11
150,.,11
151,语：四级,11
152,有较强的沟通能力,11
153,沟通能力良好,11
154,普通话标准流利,11
155,普通话，白话,11
156,表达能力强,11
157,有良好的沟通能力,11
158,普通话标准.,11
159,普通话二级甲等,11
